date,AUDUSD Curncy,NZDUSD Curncy,USDCAD Curncy,USDNOK Curncy,USDSEK Curncy,USDZAR Curncy,USDMXN Curncy
2016-06-10,0.7373,0.7055,1.2783,8.2736,8.3103,15.2304,18.6328
2016-06-13,0.7387,0.7061,1.2837,8.2653,8.2354,15.171,18.8394
2016-06-14,0.7358,0.6993,1.2872,8.3625,8.3101,15.3011,18.9352
2016-06-15,0.7407,0.7034,1.2912,8.3079,8.3107,15.2466,18.9127
2016-06-16,0.7363,0.7045,1.2967,8.3903,8.3394,15.347,18.945
2016-06-17,0.7387,0.7049,1.2894,8.3624,8.3314,15.1497,18.8375
2016-06-20,0.7457,0.712,1.2806,8.2793,8.2444,14.8402,18.6575
2016-06-21,0.745,0.7122,1.2817,8.3163,8.2792,14.7143,18.6241
2016-06-22,0.7501,0.7164,1.2844,8.2922,8.2619,14.6102,18.4942
2016-06-23,0.7613,0.725,1.2753,8.1462,8.1621,14.4161,18.2273
2016-06-24,0.7466,0.7124,1.3004,8.3331,8.4648,15.0823,18.9278
2016-06-27,0.733,0.6996,1.3072,8.5731,8.5559,15.4679,19.181
2016-06-28,0.7386,0.7047,1.3025,8.4764,8.5067,15.1792,18.8366
2016-06-29,0.7451,0.7113,1.2935,8.3935,8.4569,14.7927,18.4839
2016-06-30,0.7451,0.7134,1.2924,8.3634,8.4597,14.7266,18.2804
2016-07-01,0.7498,0.7175,1.2912,8.3437,8.4361,14.5606,18.3605
2016-07-04,0.7538,0.7229,1.2846,8.2902,8.4181,14.5681,18.4206
2016-07-05,0.7463,0.7154,1.298,8.407,8.5237,14.7452,18.8182
2016-07-06,0.752,0.7132,1.2962,8.432,8.5243,14.731,18.7379
2016-07-07,0.7479,0.7228,1.3002,8.5092,8.5792,14.7603,18.8288
2016-07-08,0.7569,0.7306,1.3044,8.5246,8.5814,14.5379,18.505
2016-07-11,0.7532,0.722,1.3117,8.5057,8.5747,14.4468,18.4678
2016-07-12,0.7623,0.73,1.3042,8.4327,8.54,14.3384,18.3417
2016-07-13,0.7608,0.7276,1.2978,8.4255,8.4974,14.482,18.3662
2016-07-14,0.7632,0.7199,1.2892,8.3644,8.4973,14.2249,18.3534
2016-07-15,0.7578,0.7116,1.2974,8.4836,8.588,14.5736,18.6048
2016-07-18,0.7591,0.7116,1.2945,8.4473,8.5489,14.245,18.3861
2016-07-19,0.7504,0.7053,1.302,8.5121,8.6118,14.3361,18.5003
2016-07-20,0.7478,0.7026,1.3057,8.4984,8.5992,14.3467,18.6797
2016-07-21,0.7495,0.6997,1.3088,8.4923,8.5941,14.2309,18.577
2016-07-22,0.7462,0.6997,1.3127,8.5515,8.6513,14.2924,18.5463
2016-07-25,0.747,0.6996,1.3217,8.5656,8.6407,14.3636,18.7761
2016-07-26,0.7502,0.7054,1.3188,8.5696,8.6601,14.361,18.7746
2016-07-27,0.7491,0.7076,1.3189,8.5384,8.6287,14.258,18.8259
2016-07-28,0.7503,0.7073,1.3156,8.5557,8.6397,14.1455,18.8928
2016-07-29,0.7596,0.7199,1.303,8.4459,8.5569,13.8787,18.7527
2016-08-01,0.7536,0.7172,1.3124,8.498,8.5954,13.9174,18.8647
2016-08-02,0.7609,0.7243,1.311,8.4284,8.5133,13.9998,18.9346
2016-08-03,0.7588,0.7159,1.3067,8.4545,8.5468,13.909,18.8876
2016-08-04,0.7628,0.7173,1.3019,8.4398,8.5204,13.7059,18.9077
2016-08-05,0.7619,0.7144,1.3172,8.5076,8.5668,13.727,18.7542
2016-08-08,0.7651,0.7138,1.3154,8.4701,8.5805,13.5749,18.5533
2016-08-09,0.7673,0.7166,1.3119,8.4065,8.533,13.413,18.4369
2016-08-10,0.7703,0.7206,1.3058,8.2707,8.4643,13.2814,18.4152
2016-08-11,0.7699,0.7209,1.2993,8.25,8.4728,13.402,18.2294
2016-08-12,0.7652,0.7197,1.2951,8.211,8.4536,13.4764,18.2602
2016-08-15,0.7674,0.7211,1.2924,8.2143,8.4572,13.3033,18.0776
2016-08-16,0.7695,0.7281,1.2863,8.1952,8.4148,13.4216,18.0614
2016-08-17,0.7655,0.7252,1.2844,8.2041,8.4247,13.3816,18.1395
2016-08-18,0.7686,0.729,1.2782,8.1512,8.3467,13.3749,18.1891
2016-08-19,0.7627,0.7272,1.2871,8.2192,8.3852,13.5163,18.22
2016-08-22,0.7626,0.7269,1.2946,8.2143,8.3741,13.5811,18.2948
2016-08-23,0.7615,0.7291,1.2913,8.2142,8.3787,14.0019,18.5693
2016-08-24,0.7613,0.7312,1.2927,8.2192,8.3966,14.1632,18.4556
2016-08-25,0.7618,0.7302,1.2922,8.2201,8.4064,14.2113,18.3663
2016-08-26,0.7564,0.7236,1.3003,8.2697,8.4817,14.3694,18.5925
2016-08-29,0.7569,0.7251,1.3011,8.2783,8.4667,14.4066,18.6252
2016-08-30,0.7509,0.722,1.3099,8.3443,8.5398,14.5037,18.8181
2016-08-31,0.7517,0.725,1.3105,8.328,8.5605,14.7313,18.7836
2016-09-01,0.7551,0.7283,1.3103,8.335,8.5535,14.5985,18.7481
